Date,Open,High,Low,Close,Volume
2016-11-10,173.046,173.795,171.359,172.673,5906389.8561325
2016-11-11,172.059,172.522,171.436,172.365,2215813.6742598
2016-11-14,172.826,173.008,171.743,172.395,3057451.5395591
2016-11-15,172.817,173.775,172.625,173.765,2920397.2988116
2016-11-16,173.25,173.661,173.154,173.472,1378268.2103463
2016-11-17,173.584,174.418,173.5,174.333,1357107.2717512
2016-11-18,174.446,174.591,173.795,174.004,1923850.0966349
2016-11-21,174.534,175.29,174.4,175.252,3045707.4011956
2016-11-22,175.588,175.799,174.993,175.588,3198179.8658739
2016-11-23,175.252,175.781,174.993,175.761,1690088.7495763
2016-11-25,176.105,176.49,175.999,176.49,2125435.5506678
2016-11-28,176.096,176.365,175.444,175.616,2528868.2973132
2016-11-29,175.588,176.346,175.28,175.922,1948437.88676
2016-11-30,176.508,176.642,175.405,175.482,2720398.5239802
2016-12-01,175.751,175.781,174.524,174.86,3784088.0229671
2016-12-02,174.926,175.33,174.62,174.975,2443627.8430621
2016-12-05,175.712,176.297,175.501,175.952,2387881.2619636
2016-12-06,176.181,176.576,175.712,176.566,2782529.3764222
2016-12-07,176.44,178.905,176.297,178.798,2598402.6095142
2016-12-08,178.837,179.747,178.579,179.258,3428383.9637036
2016-12-09,179.508,180.4,179.47,180.37,2273943.9252963
2016-12-12,180.303,180.736,179.815,180.17,2789854.5975616
2016-12-13,180.831,181.83,180.784,181.398,3079069.3916916
2016-12-14,181.109,181.731,179.47,179.911,4881354.407858
2016-12-15,180.131,181.425,180.008,180.591,3239315.6455939
2016-12-16,181.09,181.109,179.98,180.267,3544143.7386123
2016-12-19,180.468,181.07,180.303,180.677,2354433.7305771
2016-12-20,181.167,181.492,180.967,181.349,3684439.1445664
2016-12-21,181.282,181.408,180.869,180.869,1782803.5999345
2016-12-22,180.774,180.841,180.19,180.65,2135866.3234069
2016-12-23,180.63,180.831,180.43,180.803,1466040.4663213
2016-12-27,181.053,181.609,181.053,181.233,2083367.1666045
2016-12-28,181.482,181.54,179.681,179.825,2553305.869289
2016-12-29,179.853,180.161,179.307,179.786,2031960.2209289
2016-12-30,180.073,180.131,178.444,179.135,4872211.9643851
2017-01-03,180.341,180.917,179.356,180.4,5443575.0405401
2017-01-04,180.812,181.636,180.736,181.445,5297399.2199515
2017-01-05,181.272,181.522,180.65,181.32,3176639.2091794
2017-01-06,181.474,182.443,180.984,182.01,2514963.7298726
2017-01-09,181.77,181.895,181.389,181.445,1954171.2127901
2017-01-10,181.408,182.203,181.08,181.425,2509129.2152282
2017-01-11,181.349,181.925,180.736,181.925,6506996.4418579
2017-01-12,181.455,181.646,180.229,181.522,3717781.3146121
2017-01-13,181.636,182.163,181.589,181.876,3234699.5670491
2017-01-17,181.31,181.666,180.917,181.253,1936817.887006
2017-01-18,181.492,181.666,181.003,181.618,2269648.1035001
2017-01-19,181.713,181.857,180.62,181.033,1893106.4919351
2017-01-20,181.599,182.097,181.129,181.589,2386781.7485656
2017-01-23,181.349,181.666,180.486,181.187,5255449.7585896
2017-01-24,181.369,182.728,181.272,182.337,2222042.5115462
2017-01-25,183.237,183.901,183.085,183.842,3285972.9854808
2017-01-26,183.784,184.023,183.477,183.725,2847961.8986032
2017-01-27,183.784,183.891,183.287,183.477,1636709.1475102
2017-01-30,182.807,182.835,181.389,182.347,3188636.8406696
2017-01-31,181.77,182.337,181.31,182.337,4340122.5888083
2017-02-01,182.931,183.151,181.8,182.364,3092411.684254
2017-02-02,182.001,182.728,181.676,182.443,1903866.9100573
2017-02-03,183.334,183.861,183.066,183.775,4887219.1747686
2017-02-06,183.363,183.716,183.131,183.428,1541992.4316767
2017-02-07,183.784,183.966,183.247,183.477,1368693.8896944
2017-02-08,183.18,183.765,182.941,183.697,1256214.9208927
2017-02-09,183.909,185.02,183.871,184.742,1418061.4153573
2017-02-10,185.108,185.693,184.99,185.499,1618588.0400743
2017-02-13,185.968,186.727,185.932,186.457,2011151.8777119
2017-02-14,186.354,187.235,186.018,187.235,2897308.5606344
2017-02-15,187.014,188.375,186.986,188.194,2345495.7506962
2017-02-16,188.232,188.385,187.359,188.058,2200827.3275083
2017-02-17,187.464,188.328,187.416,188.328,1662959.7690929
2017-02-21,188.769,189.62,188.7,189.449,2169559.0024676
2017-02-22,189.123,189.519,188.978,189.362,1686394.8435588
2017-02-23,189.814,189.814,188.749,189.469,1967914.0870839
2017-02-24,188.672,189.708,188.615,189.68,1877156.2453923
2017-02-27,189.62,190.121,189.372,189.947,2225756.2380138
2017-02-28,189.64,189.841,189.123,189.421,2498267.6084915
2017-03-01,191.021,192.546,190.993,192.095,3810120.6195972
2017-03-02,191.97,191.999,190.877,190.983,1891729.4922336
2017-03-03,190.83,191.186,190.483,191.098,2023236.0932745
2017-03-06,190.273,190.791,189.89,190.475,1754550.0696951
2017-03-07,190.197,190.503,189.708,189.89,1997228.5330026
2017-03-08,190.168,190.389,189.421,189.509,2044907.1476681
2017-03-09,189.63,190.073,188.894,189.698,1873423.741656
2017-03-10,190.695,190.705,189.574,190.361,2085596.4456667
2017-03-13,190.37,190.571,190.091,190.475,1590872.7915362
2017-03-14,190.004,190.044,189.257,189.824,1636864.5815675
2017-03-15,190.322,191.836,190.091,191.424,3849188.8134017
2017-03-16,191.626,191.665,190.791,191.107,1960744.3000016
2017-03-17,191.368,191.49,190.705,190.705,1820535.4781196
2017-03-20,190.734,191.011,190.197,190.533,1187205.3290326
2017-03-21,191.107,191.221,187.974,188.107,3971880.5299898
2017-03-22,188.107,188.779,187.562,188.501,2965768.3957954
2017-03-23,188.289,189.372,188.002,188.289,2779607.4247828
2017-03-24,188.597,189.163,187.494,188.232,3019986.7158616
2017-03-27,186.603,188.223,186.403,187.946,2375928.4872817
2017-03-28,187.753,189.758,187.648,189.323,3486625.8351704
2017-03-29,189.123,189.766,188.913,189.611,1994662.3062862
2017-03-30,189.509,190.332,189.333,190.101,2845914.1331379
2017-03-31,189.833,190.312,189.65,189.65,1518752.4321685
2017-04-03,189.804,189.938,188.232,189.431,3244063.1650194
2017-04-04,189.113,189.574,188.779,189.536,2830801.5614136
2017-04-05,190.121,191.061,188.779,188.97,2630577.4593584
2017-04-06,189.113,189.938,188.672,189.449,1863872.370999
2017-04-07,189.238,189.9,188.836,189.277,2094299.7096894
2017-04-10,189.411,190.111,188.932,189.411,1496465.9006356
2017-04-11,189.046,189.247,187.829,189.183,2038826.442168
2017-04-12,188.922,189.095,188.136,188.385,2284109.7299111
2017-04-13,188.048,188.691,187.12,187.12,2061074.375982
